hostname,reason
wikipedia.org,dump or API available
wiktionary.org,dump or API available
wikidata.org,dump or API available
wikisource.org,dump or API available
wikiversity.org,dump or API available
aclanthology.org,dump or API available
arxiv.org,dump or API available
huggingface.co,dump or API available
pubmed.ncbi.nlm.nih.gov,dump or API available
pubchem.ncbi.nlm.nih.gov,dump or API available
sci-hub.se,piracy
sci-hub.st,piracy
sci-hub.tw,piracy
sci-hub.shop,piracy
drive.google.com,file hosting
