"n_pages","perc_pages","avg_warc_record_length","sum_warc_record_length","max_warc_record_length","percentiles_warc_record_length","perc_warc_storage","perc_truncated","sum_warc_record_length_truncated","perc_warc_storage_truncated","sum_warc_record_length_truncated_length","perc_warc_storage_truncated_length","content_mime_detected","reason_truncated","common_url_path_suffixes","uniq_tlds","uniq_domains","uniq_hosts","top_tlds","top_domains"
"40613284","84.27772679536315","25121.29692430191","1020258366435","19848197","[967, 1096, 1755, 3354, 4558, 7006, 13738, 28021, 41307, 53646, 76266, 118616, 200195, 279373]","15.245210456074519","0.002075675535127866","1194770674","0.017852860580326774","1136067210","0.016975684080115627","text/html","{length=255, disconnect=432, time=156}","[{.html, 6044216}, {.php, 1290782}, {.htm, 831170}, {.aspx, 268616}, {.do, 217619}, {.cgi, 127792}, {.shtml, 111921}, {.pl, 103811}, {.asp, 95325}, {.jsp, 72030}, {.cfm, 51596}, {.en, 36700}, {.ja, 31105}, {.pdf, 19461}, {.HTM, 19411}, {.showcfp, 15060}, {.HTML, 11873}, {.1, 8844}, {.xml, 8764}, {.2, 4938}, {.de, 4772}, {.es, 4704}, {.2003, 4376}, {.2004, 4369}, {.2002, 4329}]","184","5109","7491","[{com, 8204849}, {org, 7988496}, {edu, 4364031}, {de, 2390003}, {gov, 2110414}, {uk, 1125095}, {jp, 899297}, {ca, 754304}, {nl, 748835}, {fr, 738358}, {ru, 714493}, {se, 705555}, {net, 620669}, {ch, 537122}, {it, 496428}, {es, 490055}, {au, 472364}, {pl, 464163}, {eu, 369866}, {at, 305854}, {kr, 295846}, {no, 292552}, {br, 279125}, {cn, 277346}, {fi, 275921}]","{epfl.ch=158864, berkeley.edu=138929, mendeley.com=138141, stanford.edu=132611, nii.ac.jp=240992, nih.gov=282627, nasa.gov=636987, noaa.gov=296578, arcgis.com=152254, wisc.edu=193077, mit.edu=201479, copernicus.org=671032, mpg.de=137885, usda.gov=159482, proteinatlas.org=154996, canada.ca=138984, duke.edu=154950, uni-bielefeld.de=130305, harvard.edu=251278, caltech.edu=190863, cern.ch=148213, uni-tuebingen.de=147999, rutgers.edu=156560, apache.org=132279, scholaris.ca=140291}"
"3169664","6.577455706982423","1551893.1150027257","4918979738472","26223850","[6707, 12398, 32128, 58837, 84962, 135729, 371410, 1174367, 2332993, 3737661, 7393187, 15214114, 22333101, 25389147]","73.50185385316284","1.050616090538303","772971459789","11.550125898206202","765314298195","11.435708762471656","application/pdf","{length=31373, disconnect=1713, time=215}","[{.pdf, 2773396}, {.PDF, 41523}, {.php, 11324}, {.do, 4972}, {.shtml, 3517}, {.html, 797}, {.htm, 592}, {.asp, 282}, {.aspx, 217}, {.ashx, 148}, {.jsp, 40}, {.Pdf, 19}, {.2013, 12}, {.pdf-1, 8}, {.1, 8}, {.31, 6}, {.cfm, 6}, {.x, 6}, {.2, 5}, {.3, 5}]","133","2937","4180","[{org, 593956}, {edu, 388561}, {de, 329161}, {com, 176972}, {jp, 173769}, {gov, 147427}, {uk, 96604}, {it, 88637}, {cc, 81456}, {fr, 80750}, {ru, 78284}, {ca, 77882}, {ch, 72648}, {press, 62092}, {es, 58806}, {nl, 49031}, {br, 45249}, {au, 41305}, {int, 41210}, {in, 38181}, {at, 34008}, {se, 31710}, {hr, 28334}, {eu, 25081}, {il, 25061}]","{numdam.org=32809, epj-conferences.org=20771, uni-jena.de=43279, nasa.gov=21793, ems.press=39803, mlr.press=22289, copernicus.org=41100, columbia.edu=26624, tamu.edu=23175, thecvf.com=26294, istra-istria.hr=23640, questjournals.org=21275, sissa.it=28795, bom.gov.au=26922, kyoto-u.ac.jp=21963, academie-sciences.fr=19277, nips.cc=25674, uam.es=25876, unict.it=19275, isca-archive.org=39786, cwi.nl=18513, neurips.cc=48224, iodp.org=31513, cbd.int=19612, dagstuhl.de=23780}"
"2417807","5.017256860831953","14985.212882996864","36231352605","19637007","[1013, 1052, 1317, 1826, 2392, 3576, 6944, 13475, 23742, 30594, 46195, 67803, 87161, 114045]","0.5413869797525046","0.0013235134152560564","321576818","0.004805161544849834","321442842","0.004803159608494046","application/xhtml+xml","{length=19, disconnect=6, time=7}","[{.html, 883563}, {.php, 114515}, {.aspx, 88958}, {.htm, 76121}, {.shtml, 70952}, {.cfc, 49044}, {.do, 32103}, {.cfm, 31236}, {.asp, 27035}, {.xml, 18208}, {.page, 16374}, {.cgi, 5695}, {.dk, 2807}, {.pdf, 1138}, {.genomic, 724}, {.cdna, 496}, {.xht, 487}, {.de, 470}, {.en, 392}, {.xhtml, 262}, {.1, 143}, {.txt, 118}, {.xhtm, 115}, {.pl, 109}, {.0, 100}]","66","786","1039","[{org, 566035}, {com, 529973}, {uk, 336407}, {edu, 230617}, {jp, 124401}, {be, 74858}, {gov, 67496}, {ca, 63671}, {ch, 61890}, {de, 58806}, {cern, 51238}, {br, 48024}, {net, 35349}, {cn, 26630}, {ar, 22286}, {au, 12842}, {pl, 12258}, {it, 9296}, {at, 8763}, {dk, 8341}, {nl, 7652}, {in, 7264}, {ru, 7177}, {is, 6505}, {kr, 5661}]","{soton.ac.uk=68546, stanford.edu=46586, lancs.ac.uk=56328, postgis.net=34186, nasa.gov=34022, naturalsciences.be=46448, uqam.ca=51326, blogspot.com=93519, arlis.org=69653, kyushu-u.ac.jp=54801, whiterose.ac.uk=32843, universaldependencies.org=34301, edge.org=30826, ikonet.com=43195, mapsales.com=53898, harvard.edu=36310, w3.org=82396, sketchport.com=35521, marchionnilab.org=81381, ncl.ac.uk=32527, techscience.com=57809, nvidia.com=45877, root.cern=51238, jmp.com=58606, bgs.ac.uk=79214}"
"875344","1.8164500680112536","106948.8749577309","93617056001","25946033","[698, 733, 798, 859, 917, 1098, 2221, 12128, 35385, 85521, 354051, 1175070, 2520550, 4183063]","1.3988728423765253","0.5704043210440696","32299486148","0.48263506592934663","32234006677","0.4816566389457625","text/plain","{length=4923, disconnect=54, time=16}","[{.txt, 238878}, {.dat, 48266}, {.tab, 37502}, {.pdb, 31297}, {.ris, 24805}, {.php, 21494}, {.tbl, 14274}, {.lst, 14209}, {.fasta, 13109}, {.WEA, 12005}, {.sasf, 9970}, {.asc, 9709}, {.fa, 8735}, {.TAB, 8303}, {.Rmd, 8216}, {.ipynb, 7703}, {.cgi, 5990}, {.TXT, 5155}, {.lbl, 4525}, {.BAK, 4518}, {.md5, 4373}, {.ibg, 3759}, {.tsc, 3577}, {.bak, 2889}, {.input, 2667}]","81","804","1044","[{edu, 232105}, {org, 216516}, {gov, 114550}, {com, 67710}, {de, 64479}, {fr, 54982}, {pl, 46363}, {ca, 11512}, {es, 10756}, {ch, 8743}, {jp, 5748}, {uk, 5077}, {ir, 4703}, {br, 4068}, {net, 3620}, {id, 2308}, {uz, 2258}, {ec, 1955}, {cz, 1713}, {nl, 1667}, {it, 1486}, {pt, 1364}, {se, 1291}, {cc, 1290}, {io, 1038}]","{obspm.fr=53069, freedesktop.org=12510, fishtedb.com=31193, noaa.gov=53025, nasa.gov=44586, bioconductor.org=36691, wisc.edu=7626, mit.edu=24145, uni-bayreuth.de=58290, copernicus.org=11093, rcin.org.pl=7578, cnio.es=9109, astrouw.edu.pl=29156, rstudio.com=11197, ucla.edu=8372, nmsu.edu=40900, predictioncenter.org=35114, lowell.edu=69697, salmobase.org=42364, colorado.edu=11663, caltech.edu=23848, usgs.gov=7983, cern.ch=7006, techscience.com=15574, nyu.edu=6864}"
"147997","0.30711258741187636","1453.5783968593958","215125242","1789966","[791, 831, 882, 918, 947, 984, 1049, 1201, 1475, 1674, 1905, 2292, 2913, 7038]","0.0032145088897076977","0.0","0","0.0","0","0.0","application/x-bibtex-text-file",,"[{.bib, 110109}, {.txt, 2020}, {.do, 1230}, {.php, 848}, {.bibtex, 35}]","41","177","206","[{cc, 50482}, {org, 33607}, {pl, 11701}, {de, 11372}, {uk, 11078}, {gov, 4517}, {com, 4469}, {br, 4110}, {id, 2317}, {uz, 2258}, {ec, 1954}, {pt, 1864}, {edu, 1374}, {es, 1294}, {it, 973}, {fr, 651}, {press, 628}, {lu, 595}, {vn, 520}, {kz, 430}, {at, 315}, {dk, 237}, {science, 236}, {cn, 234}, {nl, 232}]","{ox.ac.uk=11049, prin.or.id=1938, ufpel.edu.br=2747, copernicus.org=11097, rcin.org.pl=7595, mpg.de=7191, jmlr.org=9902, nist.gov=2930, sissa.it=955, efdeportes.com=1303, ufla.br=902, nips.cc=16587, mapress.com=911, lanl.gov=1238, ucuenca.edu.ec=1954, openscience.uz=2258, umk.pl=3893, xjegi.com=1230, oeko.de=3227, haematologica.org=4349, uc.pt=1864, icml.cc=633, ijcai.org=5043, ugr.es=719, neurips.cc=33262}"
"108643","0.22544803498846924","21801.838765498007","2368617169","19273055","[834, 856, 925, 1124, 1353, 2061, 5256, 12610, 32581, 41139, 56055, 79346, 153737, 440973]","0.03539306161972745","0.13806687959647654","355011199","0.005304754776900093","355011199","0.005304754776900093","application/xml","{length=150}","[{.xml, 79557}, {.mw, 10159}, {.html, 2443}, {.XML, 1421}, {.lblx, 1394}, {.the, 827}, {.dno, 748}, {.dco, 746}, {.dfr, 718}, {.def, 709}, {.dcl, 656}, {.jsp, 478}, {.xml_fmt, 161}, {.aspx, 153}, {.sch, 151}, {.gpml, 150}, {.ounav, 147}, {.php, 140}, {.rels, 115}, {.xsd, 109}, {.txt, 79}, {.drd, 66}, {.jnlp, 50}, {.cps, 39}, {.htm, 37}]","49","350","425","[{org, 38418}, {edu, 23676}, {gov, 12914}, {com, 12352}, {uk, 9660}, {pl, 4883}, {ir, 2575}, {ch, 2346}, {jp, 816}, {de, 192}, {nl, 173}, {es, 125}, {fr, 67}, {ca, 59}, {at, 55}, {ru, 46}, {io, 36}, {it, 24}, {net, 21}, {si, 20}, {cz, 17}, {kr, 15}, {dk, 15}, {community, 14}, {press, 10}]","{berkeley.edu=2833, opentopography.org=477, esf.edu=712, noaa.gov=6614, nasa.gov=3362, adho.org=430, areeo.ac.ir=2515, mit.edu=1567, ceda.ac.uk=9348, copernicus.org=35194, columbia.edu=3154, kek.jp=771, lemoyne.edu=593, ucla.edu=4882, uwb.edu.pl=4774, hixie.ch=2275, nmsu.edu=463, fau.edu=4845, caltech.edu=2281, usgs.gov=2724, openexoplanetcatalogue.com=1273, rutgers.edu=1649, maplesoft.com=10278, frontiersin.org=308, satobs.org=391}"
"89137","0.18497060551316866","2756.045996611957","245665672","1453229","[1102, 1289, 1360, 1534, 1563, 1599, 1746, 2460, 3594, 4746, 6769, 11289, 14183, 17597]","0.00367085925946345","0.0","0","0.0","0","0.0","application/atom+xml",,"[{.atom, 25349}, {.xml, 734}, {.php, 420}]","35","141","182","[{com, 53364}, {org, 26093}, {eu, 3531}, {gov, 2960}, {pt, 1139}, {edu, 531}, {de, 415}, {it, 277}, {il, 176}, {uk, 165}, {au, 105}, {es, 95}, {ca, 75}, {eus, 47}, {jp, 46}, {cat, 40}, {br, 19}, {io, 13}, {fi, 11}, {at, 8}, {info, 6}, {ch, 5}]","{nasa.gov=2586, uni-hamburg.de=117, upc.edu=478, copernicus.org=441, defra.gov.uk=163, usda.gov=183, ehu.eus=47, blogspot.com=49915, ibamendes.com=2917, produccioncientificaluz.org=33, thespaceacademy.org=534, uni-augsburg.de=276, bgu.ac.il=176, nist.gov=143, us.es=78, diba.cat=40, uevora.pt=1136, anu.edu.au=105, w3.org=505, spinroot.com=418, theoj.org=24483, scientix.eu=3530, globe.gov=27, geoitaliani.it=276, scholaris.ca=51}"
"87210","0.18097183556551644","1668.3001834651989","145492459","731196","[816, 875, 947, 1001, 1068, 1168, 1411, 1766, 2066, 2339, 2643, 3027, 3554, 4623]","0.0021740210423141916","0.0","0","0.0","0","0.0","text/calendar",,"[{.ics, 30888}, {.php, 2541}, {.ashx, 631}, {.jsp, 226}]","40","199","243","[{ch, 22536}, {de, 21305}, {com, 7180}, {edu, 6587}, {dk, 5813}, {ca, 5496}, {au, 2427}, {uk, 2050}, {at, 1629}, {gov, 1601}, {it, 1328}, {se, 1264}, {no, 1249}, {org, 1199}, {nl, 664}, {za, 631}, {eu, 624}, {si, 606}, {ru, 478}, {mx, 461}, {il, 431}, {hr, 313}, {pl, 295}, {lu, 292}, {fr, 245}]","{epfl.ch=13312, fu-berlin.de=4018, spacepolicyonline.com=7120, uni-jena.de=3109, wisc.edu=2542, au.dk=5770, isi.edu=933, ed.gov=929, fau.de=855, mpg.de=5895, usyd.edu.au=1399, unibas.ch=7252, birmingham.ac.uk=838, uni-halle.de=753, yorku.ca=2055, fz-juelich.de=1737, uq.edu.au=775, uit.no=1182, ncl.ac.uk=810, cern.ch=1912, scilifelab.se=1078, uni-potsdam.de=710, uni-regensburg.de=987, carleton.ca=2542, olemiss.edu=1535}"
"81950","0.17005666694867644","4906268.0499816965","402068666696","26223382","[709, 712, 916, 1565, 5952, 89236, 1382213, 5680499, 12621314, 18810103, 24599693, 25807283, 26092386, 26219668]","6.007910979443376","16.019524100061012","237110930611","3.543030037804325","237097914742","3.542835548184145","application/octet-stream","{length=12744, disconnect=383, time=1}","[{.bc, 18805}, {.DAT, 9515}, {.bb, 9481}, {.bw, 5734}, {.bai, 4261}, {.ldb, 3984}, {.bpc, 3472}, {.ck, 1988}, {.BC, 1536}, {.root, 976}, {.dat, 957}, {.bigWig, 914}, {.bds, 823}, {.cdb, 807}, {.hdb, 798}, {.imh, 796}, {.foot, 605}, {.b16, 556}, {.bes, 549}, {.2bit, 504}, {.m2t, 475}, {.aspx, 423}, {.pix, 397}, {.tns, 388}, {.glb, 378}]","37","183","219","[{gov, 26663}, {edu, 24338}, {es, 6367}, {org, 5472}, {ca, 4913}, {ch, 4891}, {jp, 3446}, {fr, 2637}, {com, 2164}, {ru, 218}, {pl, 201}, {nl, 159}, {de, 146}, {uk, 100}, {ee, 50}, {cern, 36}, {net, 29}, {kr, 22}, {dk, 19}, {cz, 17}, {se, 12}, {in, 9}, {eu, 7}, {cn, 7}, {it, 5}]","{obspm.fr=2102, 1001genomes.org=1743, nasa.gov=25907, nationsreportcard.gov=423, wisc.edu=3282, mit.edu=9502, cnio.es=6364, u-bordeaux.fr=424, ti.com=1599, riken.jp=3441, hawaii.edu=340, uzh.ch=4034, ucsc.edu=4298, ucla.edu=510, harvard.edu=690, nmsu.edu=2215, esahubble.org=475, salmobase.org=2204, colorado.edu=1142, utoronto.ca=1706, caltech.edu=550, cern.ch=853, bcgsc.ca=3198, personality-project.org=397, nyu.edu=611}"
"80351","0.16673853869424163","10603.003173575935","851961908","18210375","[1094, 1205, 1285, 1339, 1362, 1371, 1610, 2023, 2280, 3219, 4971, 12429, 23928, 63008]","0.012730440656323965","0.002489079165162848","24649689","3.6832797342782326E-4","24649689","3.6832797342782326E-4","application/x-pds","{length=2}","[{.LBL, 58509}, {.lbl, 11670}, {.CAT, 4157}, {.TXT, 3787}, {.txt, 512}, {.cat, 236}, {.imq, 225}, {.DIM, 16}, {.MOS, 15}, {.CPS, 13}, {.MGL, 13}, {.SLP, 11}, {.DEM, 10}, {.DTM, 8}, {.MEX, 6}]","5","8","10","[{edu, 54217}, {org, 20123}, {gov, 5785}, {com, 225}]","{ucla.edu=14699, nmsu.edu=937, jaxa.jp=1, nasa.gov=5785, uahirise.org=20123, colorado.edu=6717, msss.com=225, mit.edu=31864}"
