"count_trunc","count_total","perc_trunc","storage_trunc_gib","content_mime_detected","url_host_registered_domain"
"4294","25907","16.575","55.71","application/octet-stream","nasa.gov"
"3291","9311","35.345","50.30","model/vnd.valve.source.compiled-map","nasa.gov"
"2137","3198","66.823","47.88","application/octet-stream","bcgsc.ca"
"1502","4298","34.946","30.71","application/octet-stream","ucsc.edu"
"1265","17132","7.384","27.65","application/pdf","uqam.ca"
"1113","10964","10.151","25.71","application/pdf","scholaris.ca"
"936","7582","12.345","22.45","application/pdf","ipums.org"
"1623","9502","17.081","21.24","application/octet-stream","mit.edu"
"798","2204","36.207","18.39","application/octet-stream","salmobase.org"
"717","3282","21.846","16.65","application/octet-stream","wisc.edu"
"623","48224","1.292","14.68","application/pdf","neurips.cc"
"624","11354","5.496","14.53","application/pdf","eartharxiv.org"
"606","26624","2.276","13.85","application/pdf","columbia.edu"
"595","16008","3.717","13.78","application/pdf","caltech.edu"
"611","5193","11.766","13.01","application/pdf","jaea.go.jp"
"465","16693","2.786","11.25","application/pdf","bayern.de"
"485","21793","2.225","11.12","application/pdf","nasa.gov"
"474","7418","6.390","10.76","application/pdf","uni-bayreuth.de"
"428","4980","8.594","10.39","application/pdf","umk.pl"
